Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21021833,"The Zero Marginal Cost Society: The Internet of Things, the Collaborative Commons, and the Eclipse of Capitalism",Jeremy Rifkin,"Rifkin, Jeremy",,"=""""","=""""",0,3.93,St. Martin's Press,Kindle Edition,448,2014,2014,,2014/12/08,to-read,to-read (#55),to-read,,,,0,0
258922,A Canticle for Leibowitz,Walter M. Miller Jr.,"Jr., Walter M. Miller",,"=""0553273817""","=""9780553273816""",0,3.99,Bantam Spectra,Mass Market Paperback,338,2007,1959,,2014/12/08,to-read,to-read (#54),to-read,,,,0,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""159420571X""","=""9781594205712""",3,3.84,Penguin Press,Hardcover,297,2014,2014,2014/12/04,2014/11/10,,,read,,,,1,0
21480930,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0553418351""","=""9780553418354""",4,4.14,Broadway Books,Mass Market Paperback,560,2014,2012,2014/11/28,2014/11/27,,,read,,,,1,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385741278""","=""9780385741279""",3,3.66,Delacorte Press,Kindle Edition,242,2014,2014,,2014/11/10,,,read,,,,1,0
21531497,The Laughing Monsters,Denis Johnson,"Johnson, Denis",,"=""0374280592""","=""9780374280598""",0,3.18,"Farrar, Straus and Giroux",Hardcover,228,2014,2014,,2014/11/10,to-read,to-read (#53),to-read,,,,0,0
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""1857231589""","=""9781857231588""",4,4.12,,Paperback,243,2000,1973,2014/11/09,2012/01/26,,,read,,,,1,0
16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"Brown, Daniel James",,"=""067002581X""","=""9780670025817""",4,4.39,Viking,Hardcover,404,2013,2013,2014/11/01,2014/09/22,,,read,,,,1,0
6602781,Einstein: His Life and Universe,Walter Isaacson,"Isaacson, Walter",,"=""1416539328""","=""9781416539322""",4,4.17,Simon & Schuster,Kindle Edition,706,2007,2007,,2014/09/19,,,read,,,,1,0
15707945,How much is enough?: The love of money and the case for the good life,Robert Skidelsky,"Skidelsky, Robert",Edward Skidelsky,"=""1846144485""","=""9781846144486""",0,3.57,Allen Lane,Hardcover,256,2012,2012,,2012/09/22,currently-reading,currently-reading (#1),currently-reading,,,,1,0
16690,The Moon Is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0340837942""","=""9780340837948""",5,4.15,Hodder & Stoughton,Paperback,288,2005,1966,2014/10/26,2013/01/17,,,read,,,,1,0
20665570,The Meaning of Human Existence,Edward O. Wilson,"Wilson, Edward O.",,"=""0871401002""","=""9780871401007""",0,3.85,Liveright Publishing,Hardcover,207,2014,2014,,2014/10/07,to-read,to-read (#52),to-read,,,,0,0
9736930,Before I Go to Sleep,S.J. Watson,"Watson, S.J.",,"=""0062060554""","=""9780062060556""",0,3.90,HarperCollins Publishers,Hardcover,359,2011,2011,,2014/10/07,to-read,to-read (#51),to-read,,,,0,0
17465707,Still Writing: The Perils and Pleasures of a Creative Life,Dani Shapiro,"Shapiro, Dani",,"=""0802121403""","=""9780802121400""",0,4.21,Atlantic Monthly Press,Hardcover,230,2013,2013,,2014/10/07,to-read,to-read (#50),to-read,,,,0,0
22356123,A 30-Minute Instaread Summary the Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Instaread Summaries,"Summaries, Instaread",,"=""1499555164""","=""9781499555165""",0,4.14,Createspace Independent Publishing Platform,Paperback,54,2014,2014,,2014/09/19,to-read,to-read (#49),to-read,,,,0,0
318381,The Theory of the Leisure Class,Thorstein Veblen,"Veblen, Thorstein",,"=""0486280624""","=""9780486280622""",5,3.88,Dover Publications,Paperback,244,1994,1899,,2014/09/19,,,read,,,,1,0
765614,A Son of the Circus,John Irving,"Irving, John",,"=""0345389964""","=""9780345389961""",4,3.66,Ballantine Books,Mass Market Paperback,704,1995,1994,,2014/09/19,,,read,,,,1,0
154556,The French Laundry Cookbook,Thomas Keller,"Keller, Thomas",Deborah Jones,"=""1579651267""","=""9781579651268""",5,4.29,Artisan,Hardcover,336,1999,1999,,2014/09/19,,,read,,,,1,0
1120191,Effective C++: 50 Specific Ways to Improve Your Programs and Design (Addison-Wesley Professional Computing),Scott Meyers,"Meyers, Scott",,"=""0201924889""","=""9780201924886""",5,4.40,Addison-Wesley Professional,Paperback,256,1997,1991,,2014/09/19,,,read,,,,1,0
105325,C++ Gotchas: Avoiding Common Problems in Coding and Design,Stephen Dewhurst,"Dewhurst, Stephen",,"=""0321125185""","=""9780321125187""",5,4.06,Addison-Wesley Professional,Paperback,346,2002,2002,,2014/09/19,,,read,,,,1,0
105123,More Effective C++: 35 New Ways to Improve Your Programs and Designs,Scott Meyers,"Meyers, Scott",,"=""020163371X""","=""0785342633719""",5,4.33,Addison-Wesley Professional,Paperback,318,1996,1995,,2014/09/19,,,read,,,,1,0
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy Lister,"=""0932633439""","=""9780932633439""",5,4.13,Dorset House,Paperback,245,1999,1987,,2014/09/19,,,read,,,,1,0
1635,Execution: The Discipline of Getting Things Done,Larry Bossidy,"Bossidy, Larry","Ram Charan, Charles Burck","=""0609610570""","=""9780609610572""",4,3.87,Crown Currency,Hardcover,278,2002,2006,,2014/09/19,,,read,,,,1,0
75889,The Little Book That Beats the Market,Joel Greenblatt,"Greenblatt, Joel",Andrew Tobias,"=""0471733067""","=""9780471733065""",4,3.98,John Wiley & Sons Inc,Hardcover,176,2005,1999,,2014/09/19,,,read,,,,1,0
86188,A Bull in China: Investing Profitably in the World's Greatest Market,Jim Rogers,"Rogers, Jim",,"=""1400066166""","=""9781400066162""",2,3.51,Random House,Hardcover,221,2007,2007,,2014/09/19,,,read,,,,1,0
51877,Capitalism and Freedom,Milton Friedman,"Friedman, Milton",,"=""0226264211""","=""9780226264219""",5,3.90,University of Chicago Press,Paperback,208,2002,1962,,2014/09/19,,,read,,,,1,0
590036,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""0679736646""","=""9780679736646""",5,4.11,Vintage,Paperback,216,1991,1969,,2014/09/19,,,read,,,,1,0
2159,Confessions of an Economic Hit Man,John Perkins,"Perkins, John",,"=""0452287081""","=""9780452287082""",5,3.87,Plume,Paperback,303,2005,2004,,2014/09/19,,,read,,,,1,0
116526,The Case for Israel,Alan M. Dershowitz,"Dershowitz, Alan M.",,"=""0471679526""","=""9780471679523""",5,3.79,"John Wiley & Sons, Inc.",Paperback,265,2004,2003,,2014/09/19,,,read,,,,1,0
2641521,The Innovator's Guide to Growth: Putting Disruptive Innovation to Work,Scott D. Anthony,"Anthony, Scott D.","Mark W. Johnson, Joseph V. Sinfield, Elizabeth J. Altman","=""1591398460""","=""9781591398462""",5,4.02,Harvard Business Review Press,Hardcover,320,2008,2008,,2014/09/19,,,read,,,,1,0
66864,Only the Paranoid Survive: How to Exploit the Crisis Points That Challenge Every Company,Andrew S. Grove,"Grove, Andrew S.",,"=""0385483821""","=""9780385483827""",5,3.97,Crown Currency,Paperback,240,1999,1996,,2014/09/19,,,read,,,,1,0
9555264,"The Straw Men (Straw Men, #1)",Michael Marshall,"Marshall, Michael",,"=""1101219076""","=""9781101219072""",4,3.89,Jove ,Kindle Edition,404,2002,2002,,2014/09/19,,,read,,,,1,0
18908407,"Damn, It Feels Good to Be a Banker: And Other Baller Things You Only Get to Say If You Work on Wall Street",Leveraged Sellout,"Sellout, Leveraged",,"=""1401395341""","=""9781401395346""",4,3.56,Grand Central Publishing,Kindle Edition,226,2008,2008,,2014/09/19,,,read,,,,1,0
8361983,"The Bourne Sanction (Jason Bourne, #6)",Eric Van Lustbader,"Lustbader, Eric Van",Robert Ludlum,"=""""","=""""",4,3.90,,Kindle Edition,493,2009,2008,,2014/09/19,,,read,,,,1,0
6370309,Drood,Dan Simmons,"Simmons, Dan",,"=""""","=""""",4,3.54,"Little, Brown and Company",ebook,784,2009,2009,,2014/09/19,,,read,,,,1,0
6352693,"Nudge: Improving Decisions about Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",,"=""""","=""""",5,3.84,,Kindle Edition,304,,2008,,2014/09/19,,,read,,,,1,0
6420104,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas M. Campbell II,"II, Thomas M. Campbell",,"=""""","=""""",3,4.23,BenBella Books,Kindle Edition,441,2006,2004,,2014/09/19,,,read,,,,1,0
4202142,The Perfect Interview: How to Get the Job You Really Want,John D. Drake,"Drake, John D.",,"=""0814479197""","=""9780814479193""",4,3.18,Amacom Books,Paperback,207,1997,1991,,2014/09/19,,,read,,,,1,0
6053484,It Must've Been Something I Ate: The Return of the Man Who Ate Everything,Jeffrey Steingarten,"Steingarten, Jeffrey",,"=""""","=""""",3,4.08,Vintage,Kindle Edition,529,2008,2002,,2014/09/19,,,read,,,,1,0
6544058,A Song for Lya,George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,3.93,,Kindle Edition,228,,1976,,2014/09/19,,,read,,,,1,0
8170332,"The Travels of a T-Shirt in the Global Economy: An Economist Examines the Markets, Power, and Politics of World Trade",Pietra Rivoli,"Rivoli, Pietra",,"=""""","=""""",3,3.69,,Kindle Edition,534,,2005,,2014/09/19,,,read,,,,1,0
17146269,Getting Past No: Negotiating in Difficult Situations,William Ury,"Ury, William",,"=""""","=""""",3,3.98,Bantam,Kindle Edition,208,2007,1991,,2014/09/19,,,read,,,,1,0
8182140,A Technique for Producing Ideas,James Webb Young,"Young, James Webb",,"=""0071426256""","=""9780071426251""",3,4.05,McGraw-Hill,Kindle Edition,64,2003,1940,,2014/09/19,,,read,,,,1,0
6635859,The House of Mondavi: The Rise and Fall of an American Wine Dynasty,Julia Flynn Siler,"Siler, Julia Flynn",,"=""110121693X""","=""9781101216934""",3,3.70,Gotham Books,Kindle Edition,482,2007,2007,,2014/09/19,,,read,,,,1,0
8147860,Abraham Lincoln: A Presidential Life,James M. McPherson,"McPherson, James M.",,"=""0199743894""","=""9780199743896""",4,3.98,Oxford University Press,Kindle Edition,86,2008,2009,,2014/09/19,,,read,,,,1,0
8291178,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""""","=""""",4,4.14,Tor Science Fiction,Kindle Edition,613,2007,1992,,2014/09/19,,,read,,,,1,0
8715710,Hoodwinked: An Economic Hit Man Reveals Why the World Financial Markets Imploded & What We Need to Do to Remake Them,John Perkins,"Perkins, John",,"=""0307589935""","=""9780307589934""",4,3.84,Broadway Business,Kindle Edition,258,2009,2009,,2014/09/19,,,read,,,,1,0
8467456,NurtureShock: New Thinking About Children,Po Bronson,"Bronson, Po",Ashley Merryman,"=""0446504130""","=""9780446504133""",5,4.03,Twelve,Paperback,352,2011,2008,,2014/09/19,,,read,,,,1,0
6487388,Momofuku,David Chang,"Chang, David",Peter Meehan,"=""030745195X""","=""9780307451958""",5,3.93,Clarkson Potter,Hardcover,304,2009,2009,,2014/09/19,,,read,,,,1,0
7519665,How to Raise the Perfect Dog: Through Puppyhood and Beyond,Cesar Millan,"Millan, Cesar",Melissa Jo Peltier,"=""0307461300""","=""9780307461308""",2,3.76,Three Rivers Press,Paperback,320,2009,2009,,2014/09/19,,,read,,,,1,0
326823,Our America: Life and Death on the South Side of Chicago,LeAlan Jones,"Jones, LeAlan","Lloyd Newman, Dave Isay","=""0671004646""","=""9780671004644""",4,4.30,Scribner,Paperback,208,1998,1997,,2014/09/19,,,read,,,,1,0
210189,"Slim's Table: Race, Respectability, and Masculinity (American Studies Collection)",Mitchell Duneier,"Duneier, Mitchell",,"=""0226170314""","=""9780226170312""",4,3.84,University of Chicago Press,Paperback,200,1994,1992,,2014/09/19,,,read,,,,1,0
909405,City of Big Shoulders: A History of Chicago,Robert G. Spinney,"Spinney, Robert G.",,"=""0875805833""","=""9780875805832""",4,3.83,Northern Illinois University Press,Paperback,314,2000,2000,,2014/09/19,,,read,,,,1,0
8153134,"Hominids (Neanderthal Parallax, #1)",Robert J. Sawyer,"Sawyer, Robert J.",,"=""""","=""""",4,3.80,Tor Books,Kindle Edition,448,2003,2002,,2014/09/19,,,read,,,,1,0
733928,Cracking the Coconut: Classic Thai Home Cooking,Su-Mei Yu,"Yu, Su-Mei",,"=""0688165427""","=""9780688165420""",4,3.92,William Morrow Cookbooks,Hardcover,336,2000,2000,,2014/09/19,,,read,,,,1,0
8254877,Meditations,Marcus Aurelius,"Aurelius, Marcus",,"=""""","=""""",5,4.28,,Kindle Edition,143,,180,,2014/09/19,,,read,,,,1,0
570478,A Twist of the Wrist: The Motorcycle Roadracers Handbook,Keith Code,"Code, Keith",,"=""0965045013""","=""9780965045018""",4,4.17,Code Break,Paperback,117,1997,1983,,2014/09/19,,,read,,,,1,0
8156551,"Zoe's Tale (Old Man's War, #4)",John Scalzi,"Scalzi, John",,"=""""","=""""",3,3.78,Tor Books,Kindle Edition,420,2010,2008,,2014/09/19,,,read,,,,1,0
20134042,USA Inc.: A Basic Summary of America's Financial Statements,Mary G. Meeker,"Meeker, Mary G.",,"=""1450764509""","=""9781450764506""",4,3.69,Kleiner Perkins Caufield & Byers,Paperback,266,2011,2011,,2014/09/19,,,read,,,,1,0
25955,The Medium is the Massage,Marshall McLuhan,"McLuhan, Marshall","Quentin Fiore, Shepard Fairey","=""1584230703""","=""9781584230700""",3,3.97,Gingko Press,Paperback,160,2001,1967,,2014/09/19,,,read,,,,1,0
126274,Understanding Media: The Extensions of Man,Marshall McLuhan,"McLuhan, Marshall",Lewis H. Lapham,"=""0262631598""","=""9780262631594""",4,4.10,The MIT Press,Paperback,389,1994,1964,,2014/09/19,,,read,,,,1,0
20636986,What We Say Goes: Conversations on U.S. Power in a Changing World (The American Empire Project),Noam Chomsky,"Chomsky, Noam",David Barsamian,"=""""","=""""",4,4.02,Metropolitan Books,Kindle Edition,242,2007,,,2014/09/19,,,read,,,,1,0
6912293,"Viral Loop: From Facebook to Twitter, How Today's Smartest Businesses Grow Themselves",Adam L. Penenberg,"Penenberg, Adam L.",,"=""1401323499""","=""9781401323493""",2,3.61,Hyperion,Hardcover,288,2009,2009,,2014/09/19,,,read,,,,1,0
641601,Ogilvy on Advertising,David Ogilvy,"Ogilvy, David",,"=""039472903X""","=""9780394729039""",3,4.15,Vintage,Paperback,224,1985,1983,,2014/09/19,,,read,,,,1,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",4,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2014/09/19,,,read,,,,1,0
15852325,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.",,"=""""","=""""",4,4.05,HarperBusiness,Kindle Edition,239,2012,2012,,2014/09/19,,,read,,,,1,0
17664515,Sidelines: Talks and Essays,Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",4,4.11,"Spectrum Literary Agency, Inc.",Kindle Edition,234,2013,2013,,2014/09/19,,,read,,,,1,0
12779340,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",4,4.19,"Spectrum Literary Agency, Inc.",Kindle Edition,357,,2002,,2014/09/19,,,read,,,,1,0
6519719,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Kindle Edition,182,2005,1925,,2014/09/19,to-read,to-read (#47),to-read,,,,0,0
18912954,Seven Views of Olduvai Gorge,Mike Resnick,"Resnick, Mike",,"=""1612421180""","=""9781612421186""",4,4.09,Phoenix Pick,Kindle Edition,48,2019,1994,,2014/09/19,,,read,,,,1,0
12701065,"The Startup of You (Revised and Updated): Adapt, Take Risks, Grow Your Network, and Transform Your Career (2022)",Reid Hoffman,"Hoffman, Reid",Ben Casnocha,"=""0307888908""","=""9780307888907""",3,3.82,Crown Currency,Hardcover,260,2012,2012,,2014/09/19,,,read,,,,1,0
8528179,"Starbound (Marsbound, #2)",Joe Haldeman,"Haldeman, Joe",,"=""110117143X""","=""9781101171431""",4,3.53,Ace Books,Kindle Edition,304,2010,2009,,2014/09/19,,,read,,,,1,0
17452471,"The Hit  (Will Robie, #2)",David Baldacci,"Baldacci, David",,"=""1455521280""","=""9781455521289""",0,4.18,Grand Central Publishing,Kindle Edition,396,2013,2013,,2014/09/19,to-read,to-read (#46),to-read,,,,0,0
13531504,Jerusalem: A Cookbook,Sami Tamimi,"Tamimi, Sami",Yotam Ottolenghi,"=""1607743949""","=""9781607743941""",5,4.20,Ten Speed Press,Hardcover,320,2012,2012,,2014/09/19,,,read,,,,1,0
8578995,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",5,3.92,Ace,Kindle Edition,438,2007,1961,,2014/09/19,,,read,,,,1,0
570294,What If I Had Never Tried It: The Autobiography,Valentino Rossi,"Rossi, Valentino",,"=""0099486962""","=""9780099486961""",3,4.07,Arrow Books Ltd,Mass Market Paperback,352,2006,2002,,2014/09/19,,,read,,,,1,0
18110944,"Earth Afire (The First Formic War, #2)",Orson Scott Card,"Card, Orson Scott",Aaron Johnston,"=""142994384X""","=""9781429943840""",3,4.07,Tor Books,Kindle Edition,400,2013,2013,,2014/09/19,,,read,,,,1,0
8251464,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""1429963948""","=""9781429963947""",5,4.11,Tor Books,Kindle Edition,419,2009,1986,,2014/09/19,,,read,,,,1,0
11491885,The Art of Happiness: A Handbook for Living,Dalai Lama XIV,"XIV, Dalai Lama",Howard C. Cutler,"=""1101135166""","=""9781101135167""",5,4.17,Riverhead,Kindle Edition,348,2009,1998,,2014/09/19,,,read,,,,1,0
18709522,The Entrepreneurial State: Debunking Public vs. Private Sector Myths,Mariana Mazzucato,"Mazzucato, Mariana",,"=""""","=""""",4,3.95,Anthem Press,Kindle Edition,266,2013,2011,,2014/09/19,,,read,,,,1,0
10596633,Paypal Wars,Eric M. Jackson,"Jackson, Eric M.",,"=""""","=""""",4,3.98,,Kindle Edition,270,,2004,,2014/09/19,,,read,,,,1,0
18897256,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon",,"=""1625580754""","=""9781625580757""",0,4.17,Start Publishing LLC,Kindle Edition,96,2012,1937,,2014/09/19,,,read,,,,1,0
18619158,Motherland: A Novel,Amy Sohn,"Sohn, Amy",,"=""""","=""""",3,2.85,Simon & Schuster,Kindle Edition,354,2012,2012,,2014/09/19,,,read,,,,1,0
19621512,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",4,3.97,"Little, Brown and Company",Kindle Edition,322,2013,2013,,2014/09/19,,,read,,,,1,0
18581676,Be Slightly Evil: A Playbook for Sociopaths (Ribbonfarm Roughs),Venkatesh G. Rao,"Rao, Venkatesh G.",,"=""098270304X""","=""""",0,3.74,"Ribbonfarm, Inc.",Kindle Edition,231,2013,2013,,2014/09/19,to-read,to-read (#44),to-read,,,,0,0
18581690,"The Gervais Principle: The Complete Series, with a Bonus Essay on Office Space (Ribbonfarm Roughs)",Venkatesh G. Rao,"Rao, Venkatesh G.",,"=""0982703031""","=""""",0,4.19,"Ribbonfarm, Inc.",Kindle Edition,171,2013,2013,,2014/09/19,to-read,to-read (#45),to-read,,,,0,0
418471,Modernity and the Holocaust,Zygmunt Bauman,"Bauman, Zygmunt",,"=""0801487196""","=""9780801487194""",0,4.41,Cornell University Press,Paperback,254,2002,1989,,2014/09/19,to-read,to-read (#43),to-read,,,,0,0
12875444,The Baby-Led Weaning Cookbook: Delicious Recipes That Will Help Your Baby Learn to Eat Solid Foods―and That the Whole Family Will Enjoy (The Authoritative Baby-Led Weaning Series),Tracey Murkett,"Murkett, Tracey",Tracey Murkett,"=""161519049X""","=""9781615190492""",0,3.89,The Experiment,Paperback,192,2012,2010,,2014/09/19,,,read,,,,1,0
18516744,"Alien Honor (Fenris, #1)",Vaughn Heppner,"Heppner, Vaughn",,"=""1477858822""","=""9781477858820""",0,3.85,47North ,Kindle Edition,292,2013,2013,,2014/09/19,,,read,,,,1,0
18824826,Mirage (The Oregon Files Book 9),Clive Cussler,"Cussler, Clive",Jack Du Brul,"=""1101635657""","=""9781101635650""",0,4.21,G.P. Putnam's Sons,Kindle Edition,337,2013,2013,,2014/09/19,to-read,to-read (#42),to-read,,,,0,0
8642055,"Star Soldier (Doom Star, #1)",Vaughn Heppner,"Heppner, Vaughn",,"=""""","=""""",0,3.71,,Kindle Edition,335,2010,2010,,2014/09/19,to-read,to-read (#41),to-read,,,,0,0
19404862,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,"=""""","=""""",0,4.12,Createspace,Kindle Edition,193,2013,2013,,2014/09/19,to-read,to-read (#40),to-read,,,,0,0
11065441,Attachments,Rainbow Rowell,"Rowell, Rainbow",,"=""1101476346""","=""9781101476345""",2,3.87,Plume,Kindle Edition,338,2011,2011,,2014/09/19,,,read,,,,1,0
10507406,Rainbows End: A Novel with One Foot in the Future,Vernor Vinge,"Vinge, Vernor",,"=""1429991895""","=""9781429991896""",0,3.77,Tor Books,Kindle Edition,400,2007,2006,,2014/09/19,to-read,to-read (#39),to-read,,,,0,0
16183060,"Third Shift: Pact (Shift, #3)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.30,Broad Reach Publishing,Kindle Edition,277,2013,2013,,2014/09/19,,,read,,,,1,0
16148938,"Second Shift: Order (Shift, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.27,Broad Reach Publishing,Kindle Edition,268,2012,2012,,2014/09/19,,,read,,,,1,0
13603717,"First Shift: Legacy (Shift, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.22,Broad Reach Publishing,Kindle Edition,238,2012,2012,,2014/09/19,,,read,,,,1,0
6071172,Revolutionary Road,Richard Yates,"Yates, Richard",,"=""""","=""""",0,3.93,Vintage,ebook,482,2008,1961,,2014/09/19,to-read,to-read (#38),to-read,,,,0,0
21400363,Capital in the Twenty-First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""0674369564""","=""9780674369566""",0,4.06,Belknap,Kindle Edition,696,2014,2013,,2014/09/19,to-read,to-read (#37),to-read,,,,0,0
11551376,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.06,,Kindle Edition,303,,1973,,2014/09/19,to-read,to-read (#36),to-read,,,,0,0
21938596,Unlocked: An Oral History of Haden's Syndrome (Lock In #0.5),John Scalzi,"Scalzi, John",,"=""""","=""""",0,3.96,Tor Books,ebook,63,2014,2014,,2014/09/19,,,read,,,,1,0
9644,Why I Write,George Orwell,"Orwell, George",,"=""0143036351""","=""9780143036357""",0,4.01,Penguin Books,Paperback,120,2005,1946,,2014/09/19,,,read,,,,1,0
18160111,"Archetype (Archetype, #1)",M.D. Waters,"Waters, M.D.",,"=""069814855X""","=""9780698148550""",0,3.79,Dutton Adult,Kindle Edition,384,2014,2014,,2014/09/19,to-read,to-read (#35),to-read,,,,0,0
18867844,"Dogtripping: 25 Rescues, 11 Volunteers, and 3 RVs on Our Canine Cross-Country Adventure",David Rosenfelt,"Rosenfelt, David",,"=""1250014700""","=""9781250014702""",0,4.07,St. Martin's Press,Kindle Edition,289,2013,2013,,2014/09/19,,,read,,,,1,0
22710212,Business Adventures: Twelve Classic Tales from the World of Wall Street,John Brooks,"Brooks, John",,"=""""","=""""",0,3.81,Open Road Media,ebook,367,2014,1969,,2014/09/19,to-read,to-read (#33),to-read,,,,0,0
8153988,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",David   Grove,"=""""","=""""",0,4.19,Tor Books,ebook,753,2009,1990,,2014/09/19,to-read,to-read (#32),to-read,,,,0,0
19052979,Brokers of Deceit: How the U.S. Has Undermined Peace in the Middle East,Rashid Khalidi,"Khalidi, Rashid",,"=""0807044768""","=""9780807044766""",0,3.98,Beacon Press,Kindle Edition,209,2013,2013,,2014/09/19,to-read,to-read (#31),to-read,,,,0,0
18625331,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",,"=""""","=""""",0,4.18,,Kindle Edition,41,2011,1918,,2014/09/19,,,read,,,,1,0
20987154,The Battle for Justice in Palestine: The Case for a Single Democratic State in Palestine,Ali Abunimah,"Abunimah, Ali",,"=""""","=""""",0,4.23,Haymarket Books,Kindle Edition,314,2014,2013,,2014/09/19,to-read,to-read (#30),to-read,,,,0,0
18655456,"Modern Buddhism: The Path of Compassion and Wisdom, Volume 1: Sutra",Kelsang Gyatso,"Gyatso, Kelsang",,"=""""","=""""",0,3.67,Tharpa Publications,Kindle Edition,152,2018,2010,,2014/09/19,,,read,,,,1,0
13078769,Running Lean: Iterate from Plan A to a Plan That Works,Ash Maurya,"Maurya, Ash",,"=""1449305172""","=""9781449305178""",0,4.09,O'Reilly Media,Paperback,235,2012,2012,,2014/09/19,to-read,to-read (#29),to-read,,,,0,0
22389701,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697406""","=""9781451697407""",0,4.16,Simon & Schuster,Kindle Edition,467,2014,2014,,2014/09/19,to-read,to-read (#28),to-read,,,,0,0
127179,Library Lion,Michelle Knudsen,"Knudsen, Michelle",Kevin Hawkes,"=""0763622621""","=""9780763622626""",0,4.43,Candlewick Press,Hardcover,48,2006,2006,,2014/09/19,to-read,to-read (#27),to-read,,,,0,0
6057292,Glasshouse,Charles Stross,"Stross, Charles",,"=""1101208597""","=""9781101208595""",0,3.88,Ace,Kindle Edition,346,2006,2006,,2014/09/19,to-read,to-read (#26),to-read,,,,0,0
22007388,The Myth of the Spoiled Child: Challenging the Conventional Wisdom About Children and Parenting,Alfie Kohn,"Kohn, Alfie",,"=""""","=""""",0,3.98,Balance,Kindle Edition,282,2014,2014,,2014/09/19,to-read,to-read (#25),to-read,,,,0,0
19497452,Simple Prosperity: Finding Real Wealth in a Sustainable Lifestyle,David Wann,"Wann, David",,"=""""","=""""",0,3.48,St. Martin's Griffin,Kindle Edition,305,2007,2007,,2014/09/19,to-read,to-read (#24),to-read,,,,0,0
21422732,Broken Monsters,Lauren Beukes,"Beukes, Lauren",,"=""0316216836""","=""9780316216838""",0,3.59,Mulholland Books,Kindle Edition,448,2014,2014,,2014/09/19,to-read,to-read (#23),to-read,,,,0,0
19367093,Hieroglyph: Stories and Visions for a Better Future,Ed Finn,"Finn, Ed","Kathryn Cramer, Neal Stephenson, Lawrence M. Krauss, Elizabeth Bear, Cory Doctorow, Karl Schroeder, Bruce Sterling, Brenda Cooper, Madeline Ashby, Annalee Newitz, Vandana Singh, Gregory Benford, Charlie Jane Anders, David Brin, Paul C.W. Davies, Kathleen Ann Goonan, Lee Konstantinou, Rudy Rucker, James L. Cambias, Geoffrey A. Landis","=""006220470X""","=""9780062204707""",0,3.65,William Morrow,Kindle Edition,560,2014,2014,,2014/09/19,currently-reading,currently-reading (#15),currently-reading,,,,1,0
20447658,The Zone of Interest,Martin Amis,"Amis, Martin",,"=""0385353499""","=""9780385353496""",0,3.69,Knopf,Hardcover,306,2014,2014,,2014/09/19,to-read,to-read (#21),to-read,,,,0,0
