Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8483622,Engineering Infinity,Jonathan Strahan,"Strahan, Jonathan","Charles Stross, Kathleen Ann Goonan, Damien Broderick, Barbara Lamar, Robert Reed, John C. Wright, David Moles, Gregory Benford, Gwyneth Jones, John Barnes, Peter Watts, Kristine Kathryn Rusch, Karl Schroeder, Stephen Baxter, Hannu Rajaniemi","=""1907519513""","=""9781907519512""",0,3.64,Solaris,Paperback,333,2011,2010,,2016/01/12,to-read,to-read (#99),to-read,,,,0,0
25572841,Phishing for Phools: The Economics of Manipulation and Deception,George A. Akerlof,"Akerlof, George A.",Robert J. Shiller,"=""""","=""""",0,3.43,Princeton University Press,Kindle Edition,280,2015,2015,,2016/01/09,currently-reading,currently-reading (#32),currently-reading,,,,1,0
6461465,Pistol: A Biography of Pete Maravich,Mark Kriegel,"Kriegel, Mark",,"=""""","=""""",0,4.09,,Kindle Edition,533,,2007,,2016/01/07,currently-reading,currently-reading (#30),currently-reading,,,,1,0
815612,Larousse Gastronomique,Larousse,"Larousse, Larousse",,"=""0609609718""","=""9780609609712""",5,4.37,Clarkson Potter,Hardcover,1360,2001,1976,,2016/01/04,,,read,,,,1,0
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",,"=""0743200403""","=""9780743200400""",4,4.28,Simon & Schuster,Paperback,304,2000,1988,,2016/01/04,,,read,,,,1,0
41786,Joel on Software,Joel Spolsky,"Spolsky, Joel",,"=""1590593898""","=""9781590593899""",4,4.13,Apress,Paperback,362,2004,2004,,2016/01/04,,,read,,,,1,0
11483885,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.31,Orbit,ebook,579,2011,2011,2016/01/02,2015/10/31,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",5,4.15,Crown Currency,Hardcover,195,2014,2014,2015/12/16,2014/09/19,,,read,,,,1,0
19066032,Slow Burn: Burn Fat Faster By Exercising Slower,Stu Mittleman,"Mittleman, Stu",Katherine Callan,"=""""","=""""",0,3.87,William Morrow Paperbacks,Kindle Edition,338,2011,2000,,2015/12/10,currently-reading,currently-reading (#29),currently-reading,,,,1,0
18245960,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",5,4.08,Tor Books,ebook,400,2014,2006,2015/12/10,2015/10/23,,,read,,,,1,0
24934512,Blood Brothers: A Novel,Ernst Haffner,"Haffner, Ernst",Michael Hofmann,"=""1590517059""","=""9781590517055""",0,3.91,Other Press,Kindle Edition,193,2015,1932,,2015/12/09,currently-reading,currently-reading (#28),currently-reading,,,,1,0
17156082,"Hopeless (Hopeless, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",5,4.23,Colleen Hoover,ebook,417,2012,2012,,2014/09/19,,,read,,,,1,0
25968952,"The School of Greatness: A Real-World Guide to Living Bigger, Loving Deeper, and Leaving a Legacy",Lewis Howes,"Howes, Lewis",,"=""162336597X""","=""9781623365974""",0,4.02,Rodale Books,Kindle Edition,274,2015,2015,,2015/11/08,currently-reading,currently-reading (#27),currently-reading,,,,1,0
25436030,Pig Tales: An Omnivore's Quest for Sustainable Meat,Barry Estabrook,"Estabrook, Barry",,"=""0393248038""","=""9780393248036""",0,4.14,W. W. Norton & Company,Kindle Edition,283,2015,2015,,2015/11/06,currently-reading,currently-reading (#26),currently-reading,,,,1,0
25693825,Podkayne of Mars,Robert A. Heinlein,"Heinlein, Robert A.",,"=""1612422632""","=""9781612422633""",5,3.67,Phoenix Pick,Kindle Edition,176,2015,1963,2015/10/31,2015/10/31,,,read,,,,1,0
8501779,We the Living,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""1101137665""","=""9781101137666""",0,3.96,Signet Book,Kindle Edition,466,2009,1936,,2015/10/25,currently-reading,currently-reading (#25),currently-reading,,,,1,0
25837341,The Good Neighbor,A.J. Banner,"Banner, A.J.",,"=""""","=""""",3,3.37,Lake Union Publishing,ebook,206,2015,2015,2015/10/19,2015/10/19,,,read,,,,1,0
15776309,Reconstructing Amelia,Kimberly McCreight,"McCreight, Kimberly",,"=""006222543X""","=""9780062225436""",0,3.83,HarperCollins,Hardcover,382,2013,2013,,2015/10/14,to-read,to-read (#97),to-read,,,,0,0
6476913,"The Atrocity Archives (Laundry Files, #1)",Charles Stross,"Stross, Charles",,"=""1101208848""","=""9781101208847""",0,3.90,Ace,Kindle Edition,372,2008,2004,,2014/09/19,currently-reading,currently-reading (#24),currently-reading,,,,1,0
10644930,11/22/63,Stephen        King,"King, Stephen",,"=""1451627289""","=""9781451627282""",4,4.34,Scribner,Hardcover,849,2011,2011,2015/09/26,2014/01/07,,,read,,,,1,0
17306293,"Shift (Silo, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.13,Broad Reach Publishing,Kindle Edition,579,2013,2013,,2015/09/16,,,read,,,,1,0
18273768,"רציונליות, הוגנות, אושר: מבחר מאמרים",Daniel Kahneman,"Kahneman, Daniel","Maya Bar-Hillel, דניאל כהנמן, מיה בר-הלל, ענבל שגיב, מרים קראוס","=""""","=""""",0,3.69,כתר,Paperback,352,2005,2005,,2015/08/21,currently-reading,currently-reading (#23),currently-reading,,,,1,0
11794362,Double Star,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",3,3.91,"Spectrum Literary Agency, Inc.",Kindle Edition,259,,1956,2015/08/17,2015/08/03,,,read,,,,1,0
71865,"Tomorrow, When the War Began (Tomorrow, #1)",John Marsden,"Marsden, John",,"=""0439829100""","=""9780439829106""",0,4.04,Scholastic,Paperback,276,2006,1993,,2015/08/10,to-read,to-read (#96),to-read,,,,0,0
76740,The Demolished Man,Alfred Bester,"Bester, Alfred",,"=""""","=""""",0,3.97,Millennium,Paperback,250,1999,1953,,2015/08/10,to-read,to-read (#95),to-read,,,,0,0
10222093,Tomatoland: How Modern Industrial Agriculture Destroyed Our Most Alluring Fruit,Barry Estabrook,"Estabrook, Barry",,"=""1449401090""","=""9781449401092""",0,3.95,Andrews McMeel Publishing,Hardcover,240,2011,2011,,2015/06/22,currently-reading,currently-reading (#22),currently-reading,,,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,4.00,William Morrow,Kindle Edition,872,2015,2015,2015/08/04,2015/06/05,,,read,,,,1,0
3478778,The Intelligent Portfolio: Practical Wisdom on Personal Investing from Financial Engines,Christopher L. Jones,"Jones, Christopher L.",William F. Sharpe,"=""0470228040""","=""9780470228043""",0,3.96,Wiley,Hardcover,386,2017,2008,,2015/07/31,currently-reading,currently-reading (#20),currently-reading,,,,1,0
22639661,Studs Terkel's Working: A Graphic Adaptation,Harvey Pekar,"Pekar, Harvey",,"=""""","=""""",4,3.95,"New Press, The",Kindle Edition,226,2009,2009,,2014/09/19,,,read,,,,1,0
59780,Cosmicomics,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156226006""","=""9780156226004""",0,4.15,Mariner Books,Paperback,153,1976,1965,,2015/07/01,to-read,to-read (#94),to-read,,,,0,0
19223736,Let Them Eat Shrimp: The Tragic Disappearance of the Rainforests of the Sea,Kennedy Warne,"Warne, Kennedy",,"=""""","=""""",0,3.85,Island Press,Kindle Edition,200,2011,2010,,2015/06/30,to-read,to-read (#93),to-read,,,,0,0
17395584,Communicating The New: Methods to Shape and Accelerate Innovation,Kim Erwin,"Erwin, Kim",,"=""1118394178""","=""9781118394175""",0,3.88,Wiley,Paperback,272,2013,2013,,2015/06/30,to-read,to-read (#92),to-read,,,,0,0
13088627,Winning the Story Wars: Why Those Who Tell (and Live) the Best Stories Will Rule the Future,Jonah Sachs,"Sachs, Jonah",,"=""1422143562""","=""9781422143568""",0,3.98,Harvard Business Review Press,Hardcover,288,2012,2012,,2015/06/30,to-read,to-read (#91),to-read,,,,0,0
24350772,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen        King,"King, Stephen",,"=""""","=""""",0,4.07,Scribner,ebook,545,2015,2015,,2015/06/30,to-read,to-read (#90),to-read,,,,0,0
18905693,"American Pastoral (The American Trilogy, #1)",Philip Roth,"Roth, Philip",,"=""0547415974""","=""9780547415970""",0,3.95,Mariner Books,Kindle Edition,436,2013,1997,,2015/06/30,to-read,to-read (#89),to-read,,,,0,0
8839343,When China Rules the World: The End of the Western World and the Birth of a New Global Order,Martin Jacques,"Jacques, Martin",,"=""1101151455""","=""9781101151457""",0,3.78,Penguin Group,Kindle Edition,830,2009,2008,,2015/06/30,to-read,to-read (#88),to-read,,,,0,0
24434267,"The Opposite of Spoiled: Raising Kids Who Are Grounded, Generous, and Smart About Money",Ron Lieber,"Lieber, Ron",,"=""""","=""""",0,3.83,Harper,Kindle Edition,261,2015,2015,,2015/06/30,to-read,to-read (#87),to-read,,,,0,0
22711288,"How We Learn: The Surprising Truth About When, Where, and Why It Happens",Benedict Carey,"Carey, Benedict",,"=""""","=""""",0,3.91,Random House,ebook,272,2014,2014,,2015/06/30,to-read,to-read (#86),to-read,,,,0,0
7015403,The Gifts of Imperfection,Brené Brown,"Brown, Brené",,"=""159285849X""","=""9781592858491""",0,4.25,Hazelden,Paperback,137,2010,2010,,2015/06/30,to-read,to-read (#85),to-read,,,,0,0
19776547,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137390""","=""9780804137393""",0,4.06,Crown Currency,Kindle Edition,290,2014,2011,,2015/06/30,to-read,to-read (#84),to-read,,,,0,0
18929095,Raised from the Ground: A Novel,José Saramago,"Saramago, José",Margaret Jull Costa,"=""0547840446""","=""9780547840444""",0,4.07,Mariner Books,Kindle Edition,386,2012,1980,,2015/06/30,to-read,to-read (#83),to-read,,,,0,0
20600315,The Slanted Door: Modern Vietnamese Food [A Cookbook],Charles Phan,"Phan, Charles",,"=""1607740540""","=""9781607740544""",0,4.07,Ten Speed Press,Hardcover,288,2014,2014,,2015/06/30,to-read,to-read (#82),to-read,,,,0,0
24924268,No One Understands You and What to Do About It,Heidi Grant Halvorson,"Halvorson, Heidi Grant",,"=""1625274130""","=""9781625274137""",0,3.76,Harvard Business Review Press,Kindle Edition,225,2015,2015,,2015/06/30,to-read,to-read (#81),to-read,,,,0,0
22814814,The Machinery of Freedom: Guide to a Radical Capitalism,David D. Friedman,"Friedman, David D.",,"=""""","=""""",0,4.08,Chu Hartley LLC,Kindle Edition,379,2014,1973,,2015/06/30,to-read,to-read (#80),to-read,,,,0,0
9413297,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""""","=""""",0,4.28,St. Martin's Press,ebook,946,2004,2003,,2015/06/30,currently-reading,currently-reading (#19),currently-reading,,,,1,0
25251264,On Palestine,Noam Chomsky,"Chomsky, Noam",Ilan Pappé,"=""1608465012""","=""9781608465019""",0,4.26,Haymarket Books,Kindle Edition,226,2015,2015,,2015/06/30,currently-reading,currently-reading (#18),currently-reading,,,,1,0
13003827,Profit Over People: Neoliberalism and Global Order,Noam Chomsky,"Chomsky, Noam",Robert W. McChesney,"=""1609802918""","=""9781609802912""",0,4.03,Seven Stories Press,Kindle Edition,288,2011,1998,,2015/06/30,to-read,to-read (#79),to-read,,,,0,0
15777576,"Son (The Giver, #4)",Lois Lowry,"Lowry, Lois",,"=""""","=""""",0,3.99,HMH Books for Young Readers,Kindle Edition,405,2012,2012,,2015/06/30,,,read,,,,1,0
9743801,Gathering Blue,Lois Lowry,"Lowry, Lois",,"=""054734578X""","=""9780547345789""",0,3.82,HMH Books for Young Readers,Kindle Edition,175,2000,2000,,2015/06/30,,,read,,,,1,0
9834117,"Messenger (The Giver, #3)",Lois Lowry,"Lowry, Lois",,"=""0547345895""","=""9780547345895""",0,3.92,HMH Books for Young Readers,Kindle Edition,169,2004,2004,,2015/06/30,,,read,,,,1,0
17371027,Dad Is Fat,Jim Gaffigan,"Gaffigan, Jim",,"=""""","=""""",0,3.78,Crown Archetype,Kindle Edition,276,2013,2013,,2015/06/30,,,read,,,,1,0
10882,Hell's Angels,Hunter S. Thompson,"Thompson, Hunter S.",Sylvie Durastanti,"=""222109073X""","=""9782221090732""",3,3.98,Robert Laffont,Paperback,295,2000,1966,2015/06/03,2015/03/13,,,read,,,,1,0
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",0,3.79,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2015/05/11,to-read,to-read (#78),to-read,,,,0,0
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,"=""1933633867""","=""9781933633862""",0,4.21,Melville House,Hardcover,534,2011,2011,,2015/05/11,to-read,to-read (#77),to-read,,,,0,0
20706317,The First Fifteen Lives of Harry August,Claire North,"North, Claire",,"=""0316399620""","=""9780316399623""",0,4.03,Redhook,Paperback,405,2014,2014,,2015/04/08,currently-reading,currently-reading (#17),currently-reading,,,,1,0
202372,The Boys of My Youth,Jo Ann Beard,"Beard, Jo Ann",,"=""0316085251""","=""9780316085250""",0,4.12,Back Bay Books,Paperback,240,1999,1998,,2015/04/28,to-read,to-read (#76),to-read,,,,0,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",5,4.12,Ember,Paperback,208,2006,1993,2015/04/12,2015/04/04,,,read,,,,1,0
1815891,"Build Your Own Sports Car for as Little as £250 and Race It!, 2nd Ed.",Ron Champion,"Champion, Ron",,"=""1859606369""","=""9781859606360""",0,4.14,Haynes Pub Group,Hardcover,192,2000,2000,,2015/04/09,to-read,to-read (#75),to-read,,,,0,0
202661,"Slow Food Nation: Why Our Food Should Be Good, Clean, And Fair",Carlo Petrini,"Petrini, Carlo","Alice Waters, Clara Furlan, Jonathan Hunt","=""0847829456""","=""9780847829453""",0,3.71,Rizzoli Ex Libris,Hardcover,304,2007,2005,,2015/03/22,,,read,,,,1,0
45107,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",0,4.19,Voyager,Mass Market Paperback,460,1996,1995,,2015/03/22,to-read,to-read (#74),to-read,,,,0,0
81984,A History of Money and Banking in the United States: The Colonial Era to World War II,Murray N. Rothbard,"Rothbard, Murray N.",,"=""0945466331""","=""9780945466338""",0,4.19,Ludwig von Mises Institute,Hardcover,510,2002,2002,,2015/03/05,to-read,to-read (#73),to-read,,,,0,0
154253,The Mystery of Banking,Murray N. Rothbard,"Rothbard, Murray N.",,"=""0943940044""","=""9780943940045""",0,4.19,E P Dutton,Hardcover,286,1983,1983,,2015/03/05,to-read,to-read (#72),to-read,,,,0,0
81978,"Man, Economy, and State / Power and Market: Government and Economy",Murray N. Rothbard,"Rothbard, Murray N.",Joseph Stromberg,"=""0945466307""","=""9780945466307""",0,4.48,Ludwig von Mises Institute,Hardcover,1544,2004,1962,,2015/03/05,to-read,to-read (#71),to-read,,,,0,0
81976,The Case Against the Fed,Murray N. Rothbard,"Rothbard, Murray N.",,"=""094546617X""","=""9780945466178""",0,4.20,Ludwig von Mises Institute,Paperback,168,2021,1994,,2015/03/05,to-read,to-read (#70),to-read,,,,0,0
81980,America's Great Depression,Murray N. Rothbard,"Rothbard, Murray N.",Paul Johnson,"=""""","=""""",0,4.19,Ludwig Von Mises Institute,Hardcover,368,2000,1963,,2015/03/05,to-read,to-read (#69),to-read,,,,0,0
6613404,Anatomy of the State,Murray N. Rothbard,"Rothbard, Murray N.",,"=""1933550481""","=""9781933550480""",0,4.20,Ludwig von Mises Institute,Paperback,60,2009,1974,,2015/03/05,to-read,to-read (#68),to-read,,,,0,0
81983,The Ethics of Liberty,Murray N. Rothbard,"Rothbard, Murray N.",Hans-Hermann Hoppe,"=""""","=""""",0,4.16,New York University Press,Paperback,308,2003,1982,,2015/03/05,to-read,to-read (#67),to-read,,,,0,0
1268994,For a New Liberty: The Libertarian Manifesto,Murray N. Rothbard,"Rothbard, Murray N.",,"=""""","=""""",0,4.29,Collier Books,Paperback,338,1978,1973,,2015/03/05,to-read,to-read (#66),to-read,,,,0,0
81977,What Has Government Done to Our Money? and The Case for a 100 Percent Gold Dollar,Murray N. Rothbard,"Rothbard, Murray N.",,"=""0945466447""","=""9780945466444""",0,4.27,Ludwig von Mises Institute,Hardcover,191,2005,1963,,2015/03/05,to-read,to-read (#65),to-read,,,,0,0
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",0,4.32,Starscape,Paperback,469,2002,1999,,2015/03/04,,,read,,,,1,0
2526,Blindness,José Saramago,"Saramago, José",Giovanni Pontiero,"=""""","=""""",5,4.18,Houghton Mifflin Harcourt Publishing Company,Paperback,326,1999,1995,,2015/03/04,,,read,,,,1,0
218587,City of Truth,James K. Morrow,"Morrow, James K.",,"=""0156180421""","=""9780156180429""",4,3.76,Harper Voyager,Paperback,160,1993,1991,2015/03/01,2015/02/22,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",4,4.07,Knopf,Hardcover,333,2014,2014,2015/02/20,2015/02/19,,,read,,,,1,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.99,Orbit,Paperback,386,2013,2013,2015/02/16,2014/08/03,,,read,,,,1,0
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",4,3.59,Vintage,Paperback,259,1992,1962,2015/01/29,2015/01/24,,,read,,,,1,0
22010718,The Peripheral (Jackpot #1),William Gibson,"Gibson, William",,"=""0698170709""","=""9780698170704""",0,3.89,Penguin,Kindle Edition,496,2014,2014,,2015/01/14,currently-reading,currently-reading (#16),currently-reading,,,,1,0
18920446,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen        King,"King, Stephen",,"=""""","=""""",4,4.03,Scribner,Kindle Edition,538,2014,2014,2015/01/11,2014/12/29,,,read,,,,1,0
45245,"The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""0330340328""","=""9780330340328""",0,4.12,Pan Books,Mass Market Paperback,1223,1997,1996,,2015/01/09,to-read,to-read (#64),to-read,,,,0,0
816440,War with the Newts,Karel Čapek,"Čapek, Karel",Ewald Osers,"=""0945774109""","=""9780945774105""",0,4.17,Catbird Press,Paperback,241,1990,1936,,2015/01/09,to-read,to-read (#63),to-read,,,,0,0
27533,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,Muhammad Yunus,"Yunus, Muhammad","Alan Jolis, Ray Porter","=""1586481983""","=""9781586481988""",0,4.12,PublicAffairs,Paperback,289,2008,1991,,2015/01/09,to-read,to-read (#62),to-read,,,,0,0
25068,A Hedonist in the Cellar: Adventures in Wine,Jay McInerney,"McInerney, Jay",,"=""1400044820""","=""9781400044825""",0,3.61,Knopf,Hardcover,272,2006,2005,,2015/01/04,to-read,to-read (#61),to-read,,,,0,0
18505796,10% Happier,Dan   Harris,"Harris, Dan",,"=""0062265423""","=""9780062265425""",4,3.91,It Books,Hardcover,256,2014,2014,2014/12/29,2014/11/15,,,read,,,,1,0
18081809,Landline,Rainbow Rowell,"Rowell, Rainbow",,"=""1250049377""","=""9781250049377""",2,3.54,St. Martin's Press,Hardcover,320,2014,2014,2014/12/29,2014/12/15,,,read,,,,1,0
12415486,Heartburn,Nora Ephron,"Ephron, Nora",,"=""""","=""""",3,3.62,,Kindle Edition,194,,1983,2014/12/14,2014/12/14,,,read,,,,1,0
17715056,Needfinding: Design Research and Planning,Dev Patnaik,"Patnaik, Dev",,"=""1480064106""","=""9781480064102""",0,3.65,CreateSpace Independent Publishing Platform,Paperback,92,2013,2013,,2014/12/08,,,read,,,,1,0
22063607,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",0,4.12,Simon & Schuster,Kindle Edition,560,2014,2011,,2014/12/08,to-read,to-read (#60),to-read,,,,0,0
23148927,How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"Johnson, Steven",,"=""0698154509""","=""9780698154506""",0,4.11,Riverhead Books,Kindle Edition,302,2014,2014,,2014/12/08,to-read,to-read (#59),to-read,,,,0,0
3385279,The Professional Barista's Handbook,Scott Rao,"Rao, Scott",,"=""""","=""""",0,4.17,,Hardcover,99,2008,2008,,2014/12/08,to-read,to-read (#58),to-read,,,,0,0
29127,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"Beagle, Peter S.",Patrick Rothfuss,"=""""","=""""",0,4.16,Penguin Roc,Paperback,294,2008,1968,,2014/12/08,to-read,to-read (#57),to-read,,,,0,0
